address,bedroom,toilet,investor,acreage,price,lat,long,distance
Nam Từ Liêm,3.0,2.0,other,94.0,35.1063829787234,21.029411315918,105.768753051758,8.70176637734733
Hoàng Mai,2.0,1.0,other,52.0,25.0,20.9565887451172,105.844886779785,8.087054427552438
Nam Từ Liêm,2.0,1.0,tập đoàn vingroup,62.0,37.8,20.998958587646506,105.788032531738,7.481847300208964
Hoàng Mai,2.0,2.0,công ty cp xuất nhập khẩu tổng hợp hà nội - geleximco,62.0,28.70967741935484,20.9795379638672,105.841613769531,5.6088896507447386
Hà Đông,2.0,2.0,other,90.0,23.5,20.9865188598633,105.786399841309,8.33239275416606
Cầu Giấy,3.0,2.0,other,168.0,38.0,21.0044841766357,105.798629760742,6.222152995588278
Long Biên,3.0,2.0,công ty cp đầu tư xây dựng số 9 hà nội,119.5,24.0,21.0443172454834,105.877861022949,3.1452446185359
Nam Từ Liêm,3.0,2.0,tập đoàn vingroup,86.0,37.8,20.998958587646506,105.788032531738,7.481847300208964
Nam Từ Liêm,2.0,2.0,công ty cổ phần tập đoàn flc,55.0,12.0,20.991436004638697,105.756065368652,10.853805571421962
Bắc Từ Liêm,3.0,2.0,công ty tnhh thương mại - quảng cáo - xây dựng - địa ốc việt hân,116.0,25.0,21.0403366088867,105.767585754395,8.914089615411918
Nam Từ Liêm,3.0,2.0,other,94.1,31.6,21.031179428100604,105.77904510498,7.636407617611661
Ba Đình,3.0,2.0,other,110.6,80.10849909584087,21.0337815,105.8140539,4.0315678239817725
Gia Lâm,1.0,1.0,other,36.0,12.5,21.0024147033691,105.964111328125,11.966388708428244
Hoài Đức,3.0,2.0,other,97.0,18.55670103092784,21.0096874237061,105.72159576416,13.76917932512419
Cầu Giấy,2.0,2.0,other,95.0,32.0,21.0360927581787,105.783302307129,7.234279174800602
Thanh Xuân,2.0,2.0,other,55.0,24.0,20.9855403900146,105.798942565918,7.366195994422775
Cầu Giấy,3.0,2.0,tổng công ty đầu tư và phát triển nhà hà nội - handico,116.0,21.120689655172416,21.0141487121582,105.788726806641,6.826703093600148
Thanh Xuân,2.0,1.0,other,56.0,16.607142857142858,20.9921019,105.8135117,5.760561130258013
Thanh Xuân,3.0,2.0,other,91.0,72.0,20.9859714508057,105.79833984375,7.382484464059383
Hà Đông,2.0,2.0,doanh nghiệp tư nhân xây dựng số 1 tỉnh điện biên,68.0,17.058823529411768,20.962467193603494,105.792366027832,9.681213423855864
Cầu Giấy,4.0,3.0,other,210.0,27.0,21.0350513458252,105.794975280762,6.0161230070470175
Bắc Từ Liêm,2.0,2.0,other,62.2,14.7,21.0696754455566,105.777053833008,9.05806118692106
Nam Từ Liêm,3.0,2.0,công ty cổ phần tập đoàn flc,124.0,25.0,21.034076690673803,105.770355224609,8.554481604365213
Cầu Giấy,2.0,1.0,other,80.0,31.25,21.0247650146484,105.785766601563,6.949098817454263
Thanh Trì,4.0,3.0,other,141.0,16.0,20.9326725006104,105.850074768066,10.713507468163096
Long Biên,2.0,2.0,other,94.5,28.0,21.0314464569092,105.900825500488,5.029201882644394
Tây Hồ,4.0,2.0,tân hoàng minh group,250.0,45.0,21.069709777832,105.811210632324,6.248866805510911
Nam Từ Liêm,3.0,2.0,công ty cổ phần tập đoàn flc,124.0,25.0,21.034076690673803,105.770355224609,8.554481604365213
Nam Từ Liêm,2.0,2.0,other,61.5,30.081300813008127,21.0292072296143,105.764450073242,9.14874000758283
Thanh Xuân,2.0,2.0,other,88.8,29.0,20.9947719573975,105.806129455566,6.135333850019758
Thanh Xuân,3.0,2.0,other,109.0,33.0,21.002019882202102,105.820388793945,4.48107310263983
Hà Đông,2.0,2.0,other,75.0,21.5,20.9760246276855,105.761596679688,11.129799153576386
Hai Bà Trưng,1.0,2.0,tập đoàn vingroup,53.4,26.0,20.9947910308838,105.86784362793,4.116973104094032
Nam Từ Liêm,3.0,2.0,tổng công ty đầu tư phát triển nhà và đô thị bộ quốc phòng,100.0,22.0,21.0341358184814,105.764106750488,9.202744560839538
Bắc Từ Liêm,3.0,2.0,công ty cp tập đoàn sunshine,100.0,36.0,21.0919170379639,105.785003662109,9.919088412159454
Nam Từ Liêm,2.0,2.0,other,69.0,11.8,21.0411815643311,105.735359191895,12.247500582062216
Thanh Xuân,3.0,2.0,tập đoàn vingroup,169.0,21.893491124260358,21.002666473388697,105.8154296875,4.833123138746107
Bắc Từ Liêm,3.0,2.0,công ty tnhh thương mại - quảng cáo - xây dựng - địa ốc việt hân,139.0,25.0,21.0403366088867,105.767585754395,8.914089615411918
Bắc Từ Liêm,3.0,2.0,other,121.0,27.272727272727277,21.047119140625,105.781364440918,7.664309736975253
Đống Đa,2.0,2.0,tập đoàn vingroup,86.5,54.0,21.0229530334473,105.809814453125,4.48421079148588
Tây Hồ,4.0,2.0,tân hoàng minh group,250.0,45.0,21.069709777832,105.811210632324,6.248866805510911
Hà Đông,3.0,2.0,other,95.54,25.0,20.9824485778809,105.782279968262,8.942845587052515
Tây Hồ,2.0,2.0,tân hoàng minh group,94.0,80.85106382978724,21.069709777832,105.811210632324,6.248866805510911
Nam Từ Liêm,2.0,2.0,tập đoàn vingroup,72.0,37.8,20.998958587646506,105.788032531738,7.481847300208964
Ba Đình,2.0,2.0,tập đoàn vingroup,78.42,64.0,21.0317993164063,105.814193725586,3.9932741062709183
Long Biên,3.0,2.0,công ty cp đầu tư xây dựng số 9 hà nội,94.04,21.79923436835389,21.0295810699463,105.850410461426,0.2303727117100144
Thanh Xuân,2.0,2.0,công ty cp sông đà 7,70.45,31.5,20.9962978363037,105.805633544922,6.0728948651079415
Bắc Từ Liêm,3.0,2.0,other,133.0,26.0,21.065750122070305,105.798210144043,6.974861872952794
Đống Đa,4.0,2.0,other,160.0,28.125,21.0164891,105.8227091,3.3893100650234813
Hoàng Mai,2.0,2.0,doanh nghiệp tư nhân xây dựng số 1 tỉnh điện biên,67.0,14.0,20.963314056396506,105.826736450195,7.775177641365832
Hai Bà Trưng,2.0,1.0,other,48.0,18.33333333333333,20.9986278,105.8604904,3.4694109635474266
